제품명,급여구분,특정연령,특정연령단위,업체명,금기연령층
싸이크로질1%점안액(시클로펜톨레이트염산염)_(0.15g/15mL),급여,1,세 미만,한국알콘(주),영유아
프레지스타정600밀리그램(다루나비르에탄올레이트)_(0.65046g/1정),급여,3,세 미만,(주)한국얀센,영유아
프레지스타정400밀리그램(다루나비르에탄올레이트)_(0.43364g/1정),급여,3,세 미만,(주)한국얀센,영유아
케이스틴정(아젤라스틴염산염)_(1mg/1정),급여,6,세 이하,주식회사제뉴원사이언스,소아
아제쿨틴정(아젤라스틴염산염)_(1mg/1정),급여,6,세 이하,(주)시어스제약,소아
글로스틴정(아젤라스틴염산염)_(1mg/1정),급여,6,세 이하,(주)한국글로벌제약,소아
트라마셋서방정_(1정),급여,12,세 미만,제이더블유신약(주),소아
트라마셋세미서방정_(1정),급여,12,세 미만,제이더블유신약(주),소아
슈퍼셋정_(1정),급여,12,세 미만,한국유나이티드제약(주),소아
슈퍼셋세미정_(1정),급여,12,세 미만,한국유나이티드제약(주),소아
젠트라셋정_(1정),급여,12,세 미만,조아제약(주),소아
젠트라셋세미정_(1정),급여,12,세 미만,조아제약(주),소아
울트라스크세미정_(1정),급여,12,세 미만,에스케이케미칼(주),소아
울트라스크정_(1정),급여,12,세 미만,에스케이케미칼(주),소아
스타리셋정_(1정),급여,12,세 미만,태극제약(주),소아
마도파에취비에스캅셀125_(1캡슐),급여,25,세 미만,(주)한국로슈,고령자
마도파확산정125_(1정),급여,25,세 미만,(주)한국로슈,고령자
웰트라정_(1정),급여,12,세 미만,(주)에이프로젠바이오로직스,소아
코프난시럽_(20mL),급여,12,세 미만,(주)에이프로젠바이오로직스,소아
코프난시럽_(500mL),급여,12,세 미만,(주)에이프로젠바이오로직스,소아
웰트라세미정_(1정),급여,12,세 미만,(주)에이프로젠바이오로직스,소아
네오덱스안연고_(5g),급여,4,주 미만,한림제약(주),소아
엔시트라세미정_(1정),급여,12,세 미만,한림제약(주),소아
엔시트라정_(1정),급여,12,세 미만,한림제약(주),소아
브리딘플러스점안액_(0.3mL),급여,2,세 미만,한림제약(주),영유아
브리딘플러스점안액_(5mL),급여,2,세 미만,한림제약(주),영유아
엔시트라서방정_(1정),급여,12,세 미만,한림제약(주),소아
독시정(독시사이클린수화물)_(0.1g/1정),급여,12,세 미만,(주)하원제약,소아
듀세타캡슐30밀리그램(둘록세틴염산염)_(33.7mg/1캡슐),급여,18,세 미만,(주)메디카코리아,청소년
듀로세틴캡슐30밀리그램(둘록세틴염산염)_(33.7mg/1캡슐),급여,18,세 미만,한국코러스(주),청소년
세바타캡슐30밀리그램(둘록세틴염산염)_(33.65mg/1캡슐),급여,18,세 미만,삼진제약(주),청소년
유록틴캡슐30밀리그램(둘록세틴염산염)_(33.7mg/1캡슐),급여,18,세 미만,(주)유영제약,청소년
듀로센캡슐30밀리그램(둘록세틴염산염)_(33.7mg/1캡슐),급여,18,세 미만,유니메드제약(주),청소년
드록틴캡슐30mg(둘록세틴염산염)_(0.1765g/1캡슐),급여,18,세 미만,명인제약(주),청소년
마이셀타캡슐30밀리그램(둘록세틴염산염)_(33.7mg/1캡슐),급여,18,세 미만,(주)한국파마,청소년
둘세린캡슐30밀리그램(둘록세틴염산염)_(33.7mg/1캡슐),급여,18,세 미만,동국제약(주),청소년
듀로셉톨캡슐30밀리그램(둘록세틴염산염)_(33.645mg/1캡슐),급여,18,세 미만,환인제약(주),청소년
듀로스캡슐30밀리그램(둘록세틴염산염)_(33.7mg/1캡슐),급여,18,세 미만,하나제약(주),청소년
심발타캡슐30밀리그램(둘록세틴염산염)_(33.7mg/1캡슐),급여,18,세 미만,한국릴리(유),청소년
심발세틴캡슐30밀리그램(둘록세틴염산염)_(0.1685g/1캡슐),급여,18,세 미만,(주)다산제약,청소년
둘세틴캡슐30밀리그램(둘록세틴염산염)_(33.7mg/1캡슐),급여,18,세 미만,(주)한국글로벌제약,청소년
프로딘정250mg(시프로플록사신염산염수화물)_(0.291g/1정),급여,18,세 미만,(주)씨엠지제약,청소년
싸이프로신정250mg(시프로플록사신염산염수화물)_(0.291g/1정),급여,18,세 미만,한국휴텍스제약(주),청소년
"참염산시프로플록사신정_(시프로플록사신염산염수화물, 0.291g/1정)",급여,18,세 미만,유니메드제약(주),청소년
